0.154	1.0766e+09
0.1694	1.57513e+08
0.18634	6.52048e+07
0.204974	1.44994e+07
0.204974	1.44994e+07
0.225471	4.46607e+06
0.248019	1.9581e+06
0.27282	1.03195e+06
0.300102	648147
0.330113	465403
0.363124	370261
0.399436	296851
0.43938	227412
0.483318	158039
0.53165	116242
0.584815	84818
0.643296	64565.5
0.707626	45049.5
0.778388	32591.8
0.856227	23442.6
0.94185	16816
1.03603	11803.6
1.13964	8164.63
1.2536	6918.4
1.37896	6237.6
1.51686	5565.95
1.66854	4729.06
1.8354	4080.29
2.01894	3614.62
2.22083	3268.69
2.44292	2717.42
2.68721	2189.45
2.95593	1882.22
3.25152	1656.19
3.57667	1557.88
3.93434	1476.43
4.32778	1425.44
4.76055	1442.22
5.23661	1484.11
5.76027	1548.01
6.3363	1570.79
6.96993	1669.86
7.66692	1787.68
8.43361	1924.82
9.27697	2082.37
10.2047	2261.92
11.2251	2464.31
12.3476	2689.68
13.5824	2941.19
14.9407	3224.22
16.4347	3534.64
18.0782	3882.13
19.886	4264.38
21.8746	4688.7
24.0621	5154.92
26.4683	5672.49
29.1151	6243.59
32.0266	6870.81
